35330	Stop Sign
99318	Stop Sign
79813	Swiping Left
86570	Swiping Right
128970	Stop Sign
83647	Stop Sign
105	Stop Sign
60000	Stop Sign
27253	Swiping Left
43434	Swiping Left
111638	Swiping Left
109028	Swiping Left
107089	Swiping Left
3987	Swiping Right
42378	Swiping Left
111895	Stop Sign
46226	Stop Sign
47451	Swiping Right
108737	Stop Sign
119248	Swiping Left
65949	Swiping Right
116766	Stop Sign
61228	Stop Sign
46082	Swiping Right
122568	Swiping Left
35049	Swiping Right
103240	Swiping Right
78620	Swiping Left
31638	Swiping Left
75979	Swiping Right
126255	Swiping Right
27726	Swiping Right
77653	Swiping Right
11662	Stop Sign
3163	Swiping Right
42598	Swiping Left
130562	Swiping Left
82397	Swiping Left
72545	Swiping Left
20149	Stop Sign
11955	Swiping Right
43796	Stop Sign
104922	Swiping Right
119801	Swiping Left
142258	Swiping Right
67298	Swiping Left
43739	Swiping Left
123380	Swiping Left
94381	Swiping Left
92661	Stop Sign
141209	Swiping Right
30637	Swiping Left
16592	Swiping Right
39724	Swiping Left
133826	Swiping Left
22095	Swiping Right
5261	Swiping Right
78846	Stop Sign
105114	Stop Sign
5940	Swiping Left
6539	Swiping Right
122918	Swiping Left
32741	Swiping Left
31897	Swiping Left
24308	Swiping Left
91561	Stop Sign
63998	Stop Sign
32672	Stop Sign
98494	Swiping Right
123980	Swiping Left
108379	Stop Sign
112134	Stop Sign
110373	Stop Sign
16570	Stop Sign
31078	Stop Sign
1230	Swiping Right
125354	Swiping Right
45230	Swiping Right
120945	Stop Sign
99670	Swiping Left
46747	Swiping Left
100626	Swiping Left
94824	Stop Sign
105467	Swiping Left
142870	Swiping Left
13703	Stop Sign
132510	Swiping Left
18789	Stop Sign
49032	Stop Sign
143578	Stop Sign
123389	Swiping Left
30180	Stop Sign
59276	Swiping Right
86947	Swiping Right
33998	Stop Sign
57293	Swiping Left
72705	Swiping Left
4372	Stop Sign
20200	Swiping Left
68326	Stop Sign
123914	Swiping Right
39914	Swiping Left
137748	Swiping Left
143434	Swiping Left
27523	Stop Sign
116368	Swiping Right
112710	Swiping Left
95669	Swiping Right
46449	Swiping Left
85968	Stop Sign
89335	Swiping Right
93773	Swiping Right
13337	Swiping Right
93080	Swiping Right
69800	Stop Sign
65837	Swiping Right
138866	Swiping Right
132695	Stop Sign
55890	Swiping Left
135675	Swiping Right
108649	Stop Sign
113294	Swiping Right
85277	Swiping Left
138339	Stop Sign
62544	Swiping Right
66893	Swiping Left
127761	Swiping Left
98210	Stop Sign
127592	Swiping Right
122350	Stop Sign
38630	Swiping Left
73787	Swiping Right
49831	Swiping Right
97162	Swiping Left
33166	Swiping Right
145683	Swiping Right
76132	Swiping Left
114781	Swiping Right
109444	Swiping Right
50054	Swiping Right
27133	Stop Sign
30725	Stop Sign
35585	Swiping Right
117215	Swiping Right
41155	Swiping Right
13234	Swiping Right
122807	Swiping Right
73872	Swiping Right
9678	Swiping Left
103882	Stop Sign
68418	Stop Sign
62846	Swiping Right
100040	Swiping Left
42391	Swiping Left
99937	Stop Sign
122649	Swiping Right
25224	Swiping Left
103888	Swiping Left
42878	Swiping Left
80091	Swiping Right
104190	Swiping Left
102397	Swiping Right
6073	Swiping Left
128352	Swiping Right
97360	Stop Sign
49622	Swiping Left
103832	Swiping Left
111606	Stop Sign
6319	Swiping Left
111192	Swiping Right
139291	Swiping Left
144756	Swiping Right
80136	Stop Sign
22229	Swiping Right
66288	Swiping Left
12536	Swiping Left
117414	Swiping Left
118963	Stop Sign
92988	Stop Sign
11053	Swiping Right
35114	Swiping Right
86166	Swiping Left
79743	Swiping Left
9392	Stop Sign
19309	Swiping Right
37485	Stop Sign
44145	Stop Sign
32867	Stop Sign
102636	Stop Sign
68760	Swiping Left
65088	Swiping Left
59565	Stop Sign
65676	Stop Sign
49516	Swiping Right
36738	Stop Sign
128141	Swiping Left
29559	Swiping Left
37529	Swiping Left
54299	Swiping Left
23433	Stop Sign
92018	Swiping Right
28748	Swiping Left
137582	Swiping Right
105778	Stop Sign
83327	Stop Sign
68674	Swiping Left
30596	Swiping Right
49981	Swiping Left
113898	Stop Sign
62123	Swiping Right
110586	Swiping Left
99258	Stop Sign
83180	Swiping Left
66707	Stop Sign
138887	Stop Sign
79541	Stop Sign
891	Stop Sign
108201	Swiping Right
143047	Swiping Right
141814	Stop Sign
31922	Swiping Right
87337	Swiping Right
127787	Swiping Left
71182	Stop Sign
145075	Swiping Left
13084	Swiping Left
136483	Stop Sign
80171	Swiping Right
121374	Stop Sign
143535	Swiping Left
21223	Swiping Right
27961	Stop Sign
124940	Swiping Right
97935	Swiping Right
16335	Swiping Left
77925	Swiping Left
124240	Swiping Right
123478	Swiping Right
119488	Swiping Right
21826	Stop Sign
